Resultados de Conversión:
Archivo analizado: TC1.txt
Número: 6980368, Binario: 11010101000001100010000, Hexadecimal: 6A8310
Número: 1932131, Binario: 111010111101101100011, Hexadecimal: 1D7B63
Número: 8052752, Binario: 11110101110000000010000, Hexadecimal: 7AE010
Número: 6359493, Binario: 11000010000100111000101, Hexadecimal: 6109C5
Número: 1967646, Binario: 111100000011000011110, Hexadecimal: 1E061E
Número: 6575052, Binario: 11001000101001111001100, Hexadecimal: 6453CC
Número: 2323342, Binario: 1000110111001110001110, Hexadecimal: 23738E
Número: 6735760, Binario: 11001101100011110010000, Hexadecimal: 66C790
Número: 8895858, Binario: 100001111011110101110010, Hexadecimal: 87BD72
Número: 4238091, Binario: 10000001010101100001011, Hexadecimal: 40AB0B
Número: 7093069, Binario: 11011000011101101001101, Hexadecimal: 6C3B4D
Número: 39, Binario: 100111, Hexadecimal: 27
Tiempo de ejecución: 0.001239 segundos


Resultados de Conversión:
Archivo analizado: TC3.txt
Número: -39, Binario: , Hexadecimal: 
Número: -36, Binario: , Hexadecimal: 
Número: 8, Binario: 1000, Hexadecimal: 8
Número: 34, Binario: 100010, Hexadecimal: 22
Número: 17, Binario: 10001, Hexadecimal: 11
Número: 49, Binario: 110001, Hexadecimal: 31
Número: 5, Binario: 101, Hexadecimal: 5
Número: 39, Binario: 100111, Hexadecimal: 27
Número: 0, Binario: 0, Hexadecimal: 0
Número: 33, Binario: 100001, Hexadecimal: 21
Número: 12, Binario: 1100, Hexadecimal: C
Número: -6, Binario: , Hexadecimal: 
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: -4, Binario: , Hexadecimal: 
Número: -38, Binario: , Hexadecimal: 
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: 49, Binario: 110001, Hexadecimal: 31
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 42, Binario: 101010, Hexadecimal: 2A
Número: -16, Binario: , Hexadecimal: 
Número: -28, Binario: , Hexadecimal: 
Número: 34, Binario: 100010, Hexadecimal: 22
Número: 20, Binario: 10100, Hexadecimal: 14
Número: 0, Binario: 0, Hexadecimal: 0
Número: 25, Binario: 11001, Hexadecimal: 19
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: 3, Binario: 11, Hexadecimal: 3
Número: -46, Binario: , Hexadecimal: 
Número: -46, Binario: , Hexadecimal: 
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 33, Binario: 100001, Hexadecimal: 21
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: -5, Binario: , Hexadecimal: 
Número: -36, Binario: , Hexadecimal: 
Número: 12, Binario: 1100, Hexadecimal: C
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: -50, Binario: , Hexadecimal: 
Número: 0, Binario: 0, Hexadecimal: 0
Número: -6, Binario: , Hexadecimal: 
Número: -39, Binario: , Hexadecimal: 
Número: 35, Binario: 100011, Hexadecimal: 23
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: -35, Binario: , Hexadecimal: 
Número: -42, Binario: , Hexadecimal: 
Número: 14, Binario: 1110, Hexadecimal: E
Número: -3, Binario: , Hexadecimal: 
Número: 22, Binario: 10110, Hexadecimal: 16
Número: -47, Binario: , Hexadecimal: 
Número: 12, Binario: 1100, Hexadecimal: C
Número: -17, Binario: , Hexadecimal: 
Número: -31, Binario: , Hexadecimal: 
Número: -25, Binario: , Hexadecimal: 
Número: -35, Binario: , Hexadecimal: 
Número: -18, Binario: , Hexadecimal: 
Número: 14, Binario: 1110, Hexadecimal: E
Número: 37, Binario: 100101, Hexadecimal: 25
Número: -8, Binario: , Hexadecimal: 
Número: -41, Binario: , Hexadecimal: 
Número: -50, Binario: , Hexadecimal: 
Número: -9, Binario: , Hexadecimal: 
Número: 2, Binario: 10, Hexadecimal: 2
Número: 12, Binario: 1100, Hexadecimal: C
Número: -39, Binario: , Hexadecimal: 
Número: -17, Binario: , Hexadecimal: 
Número: 0, Binario: 0, Hexadecimal: 0
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: 28, Binario: 11100, Hexadecimal: 1C
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: -44, Binario: , Hexadecimal: 
Número: 28, Binario: 11100, Hexadecimal: 1C
Número: 35, Binario: 100011, Hexadecimal: 23
Número: -33, Binario: , Hexadecimal: 
Número: 43, Binario: 101011, Hexadecimal: 2B
Número: -4, Binario: , Hexadecimal: 
Número: 23, Binario: 10111, Hexadecimal: 17
Número: -49, Binario: , Hexadecimal: 
Número: 49, Binario: 110001, Hexadecimal: 31
Número: -7, Binario: , Hexadecimal: 
Número: -38, Binario: , Hexadecimal: 
Número: -45, Binario: , Hexadecimal: 
Número: 5, Binario: 101, Hexadecimal: 5
Número: -21, Binario: , Hexadecimal: 
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: -2, Binario: , Hexadecimal: 
Número: -24, Binario: , Hexadecimal: 
Número: 6, Binario: 110, Hexadecimal: 6
Número: -45, Binario: , Hexadecimal: 
Número: -4, Binario: , Hexadecimal: 
Número: 15, Binario: 1111, Hexadecimal: F
Número: 0, Binario: 0, Hexadecimal: 0
Número: -17, Binario: , Hexadecimal: 
Número: -35, Binario: , Hexadecimal: 
Número: 43, Binario: 101011, Hexadecimal: 2B
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: -35, Binario: , Hexadecimal: 
Número: -8, Binario: , Hexadecimal: 
Número: 28, Binario: 11100, Hexadecimal: 1C
Número: 47, Binario: 101111, Hexadecimal: 2F
Número: 34, Binario: 100010, Hexadecimal: 22
Número: -24, Binario: , Hexadecimal: 
Número: -42, Binario: , Hexadecimal: 
Número: -13, Binario: , Hexadecimal: 
Número: 14, Binario: 1110, Hexadecimal: E
Número: -45, Binario: , Hexadecimal: 
Número: -35, Binario: , Hexadecimal: 
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: -12, Binario: , Hexadecimal: 
Número: -19, Binario: , Hexadecimal: 
Número: -20, Binario: , Hexadecimal: 
Número: -14, Binario: , Hexadecimal: 
Número: 20, Binario: 10100, Hexadecimal: 14
Número: 30, Binario: 11110, Hexadecimal: 1E
Número: 12, Binario: 1100, Hexadecimal: C
Número: -36, Binario: , Hexadecimal: 
Número: -47, Binario: , Hexadecimal: 
Número: -27, Binario: , Hexadecimal: 
Número: -3, Binario: , Hexadecimal: 
Número: 6, Binario: 110, Hexadecimal: 6
Número: 36, Binario: 100100, Hexadecimal: 24
Número: 9, Binario: 1001, Hexadecimal: 9
Número: -16, Binario: , Hexadecimal: 
Número: 36, Binario: 100100, Hexadecimal: 24
Número: -27, Binario: , Hexadecimal: 
Número: 7, Binario: 111, Hexadecimal: 7
Número: -6, Binario: , Hexadecimal: 
Número: -5, Binario: , Hexadecimal: 
Número: 5, Binario: 101, Hexadecimal: 5
Número: 47, Binario: 101111, Hexadecimal: 2F
Número: 23, Binario: 10111, Hexadecimal: 17
Número: -48, Binario: , Hexadecimal: 
Número: -24, Binario: , Hexadecimal: 
Número: 40, Binario: 101000, Hexadecimal: 28
Número: -4, Binario: , Hexadecimal: 
Número: -18, Binario: , Hexadecimal: 
Número: -19, Binario: , Hexadecimal: 
Número: 14, Binario: 1110, Hexadecimal: E
Número: 15, Binario: 1111, Hexadecimal: F
Número: 1, Binario: 1, Hexadecimal: 1
Número: 24, Binario: 11000, Hexadecimal: 18
Número: -9, Binario: , Hexadecimal: 
Número: -50, Binario: , Hexadecimal: 
Número: 18, Binario: 10010, Hexadecimal: 12
Número: 15, Binario: 1111, Hexadecimal: F
Número: 30, Binario: 11110, Hexadecimal: 1E
Número: 44, Binario: 101100, Hexadecimal: 2C
Número: 9, Binario: 1001, Hexadecimal: 9
Número: 19, Binario: 10011, Hexadecimal: 13
Número: 33, Binario: 100001, Hexadecimal: 21
Número: 41, Binario: 101001, Hexadecimal: 29
Número: -24, Binario: , Hexadecimal: 
Número: 43, Binario: 101011, Hexadecimal: 2B
Número: 48, Binario: 110000, Hexadecimal: 30
Número: -23, Binario: , Hexadecimal: 
Número: 7, Binario: 111, Hexadecimal: 7
Número: 28, Binario: 11100, Hexadecimal: 1C
Número: 8, Binario: 1000, Hexadecimal: 8
Número: -2, Binario: , Hexadecimal: 
Número: 37, Binario: 100101, Hexadecimal: 25
Número: 42, Binario: 101010, Hexadecimal: 2A
Número: -17, Binario: , Hexadecimal: 
Número: -6, Binario: , Hexadecimal: 
Número: 36, Binario: 100100, Hexadecimal: 24
Número: 22, Binario: 10110, Hexadecimal: 16
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: 31, Binario: 11111, Hexadecimal: 1F
Número: -47, Binario: , Hexadecimal: 
Número: -43, Binario: , Hexadecimal: 
Número: 0, Binario: 0, Hexadecimal: 0
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: 30, Binario: 11110, Hexadecimal: 1E
Número: 12, Binario: 1100, Hexadecimal: C
Número: -15, Binario: , Hexadecimal: 
Número: -19, Binario: , Hexadecimal: 
Número: -42, Binario: , Hexadecimal: 
Número: -37, Binario: , Hexadecimal: 
Número: 31, Binario: 11111, Hexadecimal: 1F
Número: -10, Binario: , Hexadecimal: 
Número: 18, Binario: 10010, Hexadecimal: 12
Número: 33, Binario: 100001, Hexadecimal: 21
Número: -15, Binario: , Hexadecimal: 
Número: 17, Binario: 10001, Hexadecimal: 11
Número: 25, Binario: 11001, Hexadecimal: 19
Número: -25, Binario: , Hexadecimal: 
Número: -5, Binario: , Hexadecimal: 
Número: 33, Binario: 100001, Hexadecimal: 21
Número: -13, Binario: , Hexadecimal: 
Número: 33, Binario: 100001, Hexadecimal: 21
Número: -10, Binario: , Hexadecimal: 
Número: 47, Binario: 101111, Hexadecimal: 2F
Número: 47, Binario: 101111, Hexadecimal: 2F
Número: -13, Binario: , Hexadecimal: 
Número: -32, Binario: , Hexadecimal: 
Número: 1, Binario: 1, Hexadecimal: 1
Número: 1, Binario: 1, Hexadecimal: 1
Número: -25, Binario: , Hexadecimal: 
Número: -33, Binario: , Hexadecimal: 
Número: 16, Binario: 10000, Hexadecimal: 10
Número: 17, Binario: 10001, Hexadecimal: 11
Número: 4, Binario: 100, Hexadecimal: 4
Tiempo de ejecución: 0.000353 segundos


Resultados de Conversión:
Archivo analizado: TC4.txt
Número: -39, Binario: , Hexadecimal: 
Número: -36, Binario: , Hexadecimal: 
Número: 8, Binario: 1000, Hexadecimal: 8
Número: 34, Binario: 100010, Hexadecimal: 22
Número: 17, Binario: 10001, Hexadecimal: 11
Número: 49, Binario: 110001, Hexadecimal: 31
Número: 5, Binario: 101, Hexadecimal: 5
Número: 0, Binario: 0, Hexadecimal: 0
Número: 33, Binario: 100001, Hexadecimal: 21
Número: 12, Binario: 1100, Hexadecimal: C
Número: -6, Binario: , Hexadecimal: 
Número: 27, Binario: 11011, Hexadecimal: 1B
Número: -4, Binario: , Hexadecimal: 
Número: -38, Binario: , Hexadecimal: 
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: 49, Binario: 110001, Hexadecimal: 31
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 42, Binario: 101010, Hexadecimal: 2A
Número: -16, Binario: , Hexadecimal: 
Número: 34, Binario: 100010, Hexadecimal: 22
Número: 20, Binario: 10100, Hexadecimal: 14
Número: 0, Binario: 0, Hexadecimal: 0
Número: 25, Binario: 11001, Hexadecimal: 19
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: 3, Binario: 11, Hexadecimal: 3
Número: -46, Binario: , Hexadecimal: 
Número: -46, Binario: , Hexadecimal: 
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 33, Binario: 100001, Hexadecimal: 21
Número: 29, Binario: 11101, Hexadecimal: 1D
Número: 26, Binario: 11010, Hexadecimal: 1A
Número: -5, Binario: , Hexadecimal: 
Número: -36, Binario: , Hexadecimal: 
Número: 12, Binario: 1100, Hexadecimal: C
Número: 45, Binario: 101101, Hexadecimal: 2D
Número: -50, Binario: , Hexadecimal: 
Número: 0, Binario: 0, Hexadecimal: 0
Número: -6, Binario: , Hexadecimal: 
Tiempo de ejecución: 0.000154 segundos

Errores encontrados:
Error: 'ABC' no es un número válido.
Error: 'ERR' no es un número válido.
Error: 'VAL' no es un número válido.


